start	end	text
671780	684780	lo afer en la primera posición, entonces si te lo te ha hecho, perdón, y grupo verbal
684780	690980	es verbo, perdón, sí claro, esto es lo que tiene bueno convertirse en un parser, uno
690980	706820	no piensa, grupo verbal verbo, verbo es tomo, todo bien, tomo vale, verdad, tomo vale y
706820	713260	terminé y logré un análisis valido, el único problema que no va a ser el buffer, entonces
713260	720260	que esto no me sirve con manaliciloración, bueno, entonces yo tengo que probar otra regla,
720260	728060	grupo verbal solo puede ser un verbo, no, entonces este, parece no es, tacho, tacho
728060	736260	este, y prueba grupo verbal es agua tranquilo, grupo verbal es verbo, grupo nominal, verbo
736260	745820	es tomo, sí, bien, ahora te canaliza y grupo nominal, pero acá moví mi, mi puntero, un lugar
745820	758700	más adelante, sí, grupo nominal, grupo nominal, el principio es un determinante y un nombre,
758780	778620	determinante es un también funciona, bien, sí, se acaban en su mi puntero a vuelo, sí, y
778620	788980	estaba acá, ahora tengo decir nombre es vuelo, bien, no, nombre es tomo, no es tomo porque tomo
788980	807500	no coincide con vuelo, pero nombre examen, no es, nombre es vuelo, bien, avanzo, avanzo, avanzo
807500	819220	en el traca, alá, pero para mi grupo nominal era determinante y nombre se me había terminado,
819220	829540	o sea que se me terminó mi analicil, sí, porque yo estaba partiendo de verbo, grupo nominal,
829540	833340	esta combinación no funciona, tengo que probar otra, acá no tengo más opciones para
834260	839060	no, tengo que te achar, voy para atrás, hago al traca y prueba con grupo nominal de determinante
839060	848020	nombre es objetivo, voy a hacer todo este mismo camino, determinante es un, no es el problema que
848020	858260	tiene en los métodos de este tipo de ultrakin, de fuerza gruta, es que hace varias cosas muy repetidamente,
858260	866060	no, a decir cosas un poco absurda como probar con cosas que en la entrada no la tenés, digamos, si
866060	876900	tu palabra ahí, tomo, o vuelo, no voy a probar con tomo porque solo ocurre la que tengan
876900	884740	vuelo a la derecha, a decir, voy a hacer cosas como eso, al revista también podría ser lo mismo
884740	889940	fuerza gruta, por lo que todas las combinaciones de palabras que hay y con cada part trato de
889940	894900	construir hacia arriba, una dramática eso nuevamente es costosísimo porque se ponencial la cantidad
894900	902580	de preos que puede ser, entonces los métodos todos la univotona de fuerza gruta no funcionan con
902580	910380	la acción muy complicada, bueno, porque explotan rápidamente formos ponencial, tenemos que
910380	920180	tocar forma un poco más inteligente de hacer las cosas, y además tenemos que resolver el tema
920180	932100	de la ambiguidad, no, el famoso vio con hijo con un telés copio, sí, si en ese caso yo tengo dos análisis
932100	937460	posibles, en el mundo de las sintaxis, en el mundo reáeca más que no, porque un hijo con un telés copio
937460	943180	no sea mucho, pero nosotros todavía no llegamos a la parte de la semántica, entonces vio con hijo
943180	952140	con un telés copio, sería una cosa como oración, grupo verbal, grupo preposicional, grupo
952140	973660	verbal evi, verbobi, esto es a, grupo nominal, determinante nombre un conejo y el grupo
973660	984420	posicional es con un telés copio, este triangulito es como que no me interesa la estructuridad
984420	991380	más darbo, no, es notación más, pero también podría ser que este grupo preposicional hubiera
991380	1000580	un árbol que lo tuviera acá, son dos posibles árboles analisis de, de árboles analisis
1000580	1006020	de la estructura, eso se llama como le decía de que hace pasar a pipiatachmen, preposición
1006020	1013500	el freizatachmen y es un problema, y mi parcer lo puede levantar esa, esa ambiguidad,
1013500	1020500	tiene que darme los dos análisis posibles, yo de poderé como lo resuelvo, y como vimos
1020500	1025220	lo que hace pasado también, también tenemos problema de coordinación, esto puede ser hombres
1025220	1033620	y mujeres, de 60 años o hombres y mujeres de 60 años, son los dos casos en vivo de
1033620	1038820	más comunes, y también tenemos el vivo de más local que es los posibles postagues que
1038820	1043940	puedan tener en una palabra, por ejemplo todo lo mismo, ahí puede ser un sustantivo como
1043940	1051620	el tomo de un libro de una colección o tomo de tomar, yo sé que el único análisis valio de
1051620	1057020	esta restauración es con todo como un verbo, tengo un vivo de a local, pero no es general,
1057020	1068860	en aquel caso no puedo levantar la mibeada, por lo menos a nivel sintético, bueno,
1068860	1072660	esta nuestra llamática que es la misma que dibujamos ahí con la cama trabajar en la clase,
1073580	1083540	la matiga muy sencillo, la dije, escrita ya porque la vamos a ver, bueno, como decía
1083540	1092180	a mono, yo puedo hacer metos topdown, de arriba hacia abajo, ese señor es en padre
1092180	1099700	del racionalismo, que es descartes, es bueno, yo sé como es la realidad, yo aparto de mi
1099700	1106020	concepto y trato de llegar a los árboles, a través de la razón, antes de ir a escarte,
1106020	1111420	y cuando llegó el final de la suja veo, si la oración corresponde, recién cuando estoy,
1111420	1118620	después de ir y de todo el árbol, qué problema tiene, qué problema tiene, no, que
1118620	1123020	ventaja tiene que él solo va a generar árboles que comienzan y nese, obviamente, porque empieza
1123020	1128580	por ahí, así, a los árboles que armando son siempre razonados posibles,
1129940	1135780	desde el punto de vista de la estructura, no pierde el tiempo, es una cosa que no llenan nada,
1135780	1141060	pero claro, pierde tiempo, probando árboles que no son consistentes con el trato, porque como no
1141060	1146260	tienen cuenta de los datos, hasta el final genera, va generando todos los árboles posibles, pero
1146260	1150820	pero pierde tiendo, probando cosas que no lo llevan en el ningún lado, cuando si miramos
1150820	1158220	los datos, no podíamos dar cuenta, bueno, si esa ración empieza con un verbo, nunca puede
1158220	1168180	usar la rera genige, yo está real a no de Oriini, probarla, por el otro lado, si es
1168180	1174580	niverexium, que es el bueno uno de los padres en penicimos, el otro dice, bueno, no voy a mirar
1174580	1179860	lo datos que tengo, voy a construir para arriba, pero tiene un problema inverso, es explorar
1179860	1184860	árboles que no van a llegar a ese, empieza a combinar cosas, pero nunca no hay ninguna
1184860	1191020	rira que les contéble, pero, por otro lado, tiene la ventaja de que nunca va a sugerir
1191020	1195220	árboles que no sean al menos localmente consistente con el trato, por lo menos, como
1195220	1201420	parte de los datos, en las soja van a coincidir, porque después termina en creciendo y
1201420	1206420	se corte, porque no hay nada que los generes, empieza a combinar, se entiende, eso no le
1206420	1213980	todo a aproximación que hay, un parcer, bueno, esto es un poco lo que mostraba hoy,
1213980	1219980	un parcer toque da un básico, esa es que si mula en un estado que el proceso generación
1219980	1228980	del entrada, y lo que yo te guardando en esta análisis que hacía acá es por un lado,
1228980	1235340	si un defe se no, una estrategia de profundidad, de busque en profundidad, yo voy derivando
1235340	1244980	lo que yo iba siendo de era, tomo una rira o jeve de termina ante nombre, de termina ante,
1244980	1249660	bueno, esa va derecho al vocabulario, después tomo un hombre, si uno no prueba o actra
1249660	1254380	que puedo con el siguiente, y cada entrar en él, y voy sacando del estado que lo que
1254380	1258660	había bien realizado ya, era en los cachones que yo hacía, eso era el estado, cada
1258660	1262980	entrar en el estado tiene un árbol de sin tag, de una inciteta o parciablo, que
1262980	1270940	vengo obteniendo hasta el momento, y un punto era la siguiente palabra leer, bueno, el problema
1270940	1278940	como habíamos que tiene eso es que arrepite muchos árboles, yo puedo llegar a agregar para
1278940	1283540	aparecer un poco más inteligente, agregar un poco de filtra o botona, que era un poco
1283540	1294860	lo que veía muy, si yo tengo una rira del tipo A va deriva en B, gama, o en B, sí,
1294860	1301100	las nociones a que yo le decía, si empieza con tomo, no uso grupo nominal, porque, porque
1301100	1306900	si yo, acá lo tenemos, no utiliza la rira si no hay sequencia de derivaciones que se
1306900	1313260	ven de B a una forma que empieza por la palabra, si yo tomo o grupo nominal, grupo nominal
1313300	1322140	va en determinante o en nombre propio, sí, y por lo tanto en ningún estomo, que es la
1322140	1327780	primera palabra de mi bafar, entonces yo esa rira diré también de no la tomo, no dice la prueba
1327780	1332460	de todos los análisis de árbol, simplemente mire, lo que se llama Lestcorner, que es un
1332460	1338700	concepto muy importante, y esto se puede guardar en una tabla, además, yo puedo saber
1338700	1343780	lo en Lestcorner rápidamente, porque yo puedo detatico luego sobre la gramática, yo
1343780	1349900	voy a saber cuál es el Lestcorner de cada regla, sí, en el caso de esta regla, el Lestcorner
1349900	1368340	va a ser un determinante, perdón un vero, se tiene, pues se podría mejorar un poco, pero
1368420	1373260	hay cosas, hay formas más inteligentes, de evolucionar, tiene algunos problemas como
1373260	1377580	decíamos, tiene el problema de la recursión por la izquierda, que hay que resolverla de
1377580	1383040	una forma, algo rínica, porque un grupo nominal, tenía un grupo nominal, tenía un grupo
1383040	1388260	nominal, viejo problema de la recursión por la izquierda, pero que lo podemos resolver haciendo
1388260	1393100	trampa como siempre, no, cambié, cortando el análisis y si ya estoy en un grupo nominal,
1393100	1398780	no dejando, no dejando el trabajo, pero está, no de hecho un problema, por otra parte
1398780	1403720	este, según el problema, y es que hacemos parcín repetido, muchas veces lo mí, muchas
1403720	1411380	veces volvimos a analizar lo mismo, ¿qué cómo resolvemos en este curso, las estas cosas?
1411380	1417700	Pón transformación dinámica, por tercera vez vamos a hablar de probación, es lo cuarto,
1417700	1419460	vamos a hablar de probación dinámica, ¿no?
1419460	1436220	Le voy a hablar de la minimación, quiero otro golpe, le goremos forward, y ahora vamos a
1436220	1446300	hacer lo mismo, vamos a hablar de una tabla, los analices parcial, entonces cuando hacemos
1446380	1452140	parcín compramación dinámica, lo que vamos a hacer es, bueno, lo subarvole, los con los
1452140	1460500	almacenamos en tablas, lo subarvole, es posible, que no son tanto, van a verlo, y entonces
1460500	1465140	he visto repetir parcín, cada vez que yo hago un analic y luego hago una tabla, y hay tres
1465140	1471860	métodos clásicos de lo cual lo vamos a ver lo primero, echar parcín es como una generalización
1471860	1479380	en realidad, el otro dos, pero estos métodos son, se caí y abliz, como te veis, es un bastante
1479380	1492380	viejos, el parcín es una cosa bastante, bastante vieja, los principios, el parcín, y vamos
1492380	1499380	a primero de ellos, y no hemos casos, todos los casos funcionan con la malógica de analizar
1499380	1507820	el de guardar los analices, y se ha hecho, vamos a empezar con el primer algoritmo que se
1507820	1529380	le agorimos, cocañan, cocazamilla, sí, que es un algoritmo, que parte de las hojas, e intenta
1529380	1538660	ser a la raíz, para mover, lo primero que trata de hacer el algoritmo se caí, el algoritmo
1538660	1544940	se caí perdón, lo que exige es que la gramática está en la forma normal de choc, la forma
1544940	1551940	normal de choc, y una gramática libre contexto esencialmente lo que dice es todas las reglas son
1551940	1565620	de la forma, una variable de derivando variables, o una variable de derivas en una caída
1565620	1577020	determinales, y afortunadamente toda gramática se puede llevar a forma normal de choc,
1577100	1583660	y afortunadamente en algoritmo, bastante sencillo para sal, el algoritmo bastante sencillo lo que
1583660	1590340	lo que usa, lo que hace es, elimina las reglas que mezclan terminales y no terminales, si yo tengo
1590340	1610660	algo como x, todo lo que dice, esto es muy fácil de cómo resolvermos esto, cómo resolveríamos
1610660	1623420	algo como esto, para pasar a la forma de choc, es aquí se está ahí, y se está vando, entonces
1623420	1628500	nosotros no lo tenemos acá, nosotros es la gramática que planteamos este, no tiene
1628500	1635100	esto, porque es malo, no me es claga, si te viene acá, son todas, esencialmente porque siempre
1635100	1642100	dejamos el vocabulario aparte, lo mismo aparte, lo que a ver, entonces nunca tenemos un problema,
1646100	1649860	es decir, el primer paso, el segundo paso es la eliminación de las reglas unitarias,
1649860	1673860	la regla unitarias son reglas de la forma x, x, y cómo podemos eliminar esas reglas, exacto,
1673860	1687460	esencialmente, veo que deriva esto, y digo, aquí deriva lo que esto deriva, y no tanto a veces como se
1687460	1694780	necesario, entonces nuestra amática como va a quedar en forma normal de choc y va a quedar bueno,
1695780	1701780	oración y grupo normal, eso es una regla unitaria, acá hay una regla unitaria, entonces yo voy a decir una oración,
1701780	1709780	es un grupo verbal, y un grupo verbal es un verbo que otra vez es una regla en unitaria y el verbo
1709780	1719780	estomo, entonces yo voy a quedar algo como la oración estomo, tomo, es una oración, y verga,
1719780	1740780	verbo, verbo, grupo normal, exacto, verbo, ahí va, y qué más, que ahora debemos originalmente,
1740780	1758780	te puede viene, grupo nominal, determinante nombre, determinante nombre agetivo,
1758780	1766780	por ahora podemos la siguiente, por ahora lo único que te haciendo el eliminador de unitaria,
1766780	1781780	es es unitaria, que sería, pues lo me parí, parí, lo te veo, no, es un arco, pues bueno,
1782780	1799780	o, grupo nominal, grupo posible o, grupo nominal, grupo posible y otro grupo posible,
1800780	1813780	que es, que grupo nominal, tomo, bien aunque yo acá está reglado, tengo que volver a sustituir,
1813780	1818780	porque tomo es un grupo global en sí mismo, el hecho es que lo haya recolocido en la caída de la oración,
1818780	1832780	no quiere decir que acá no vaya, tomo o, ahí es verbo, gente, y grupo composicional es lo que
1832780	1850780	humano, pero grupo nominal, sí, y con eso simplemente eliminé las reglas,
1850780	1868780	es eliminar las reglas, que tienen más largo mayor a dos, como ésta, como ésta, como ésta,
1868780	1891780	como lo, como puedo hacer esto, cómo vamos a hacer eso, sí, que sea, por ésta,
1891780	1898780	como se llama la primera, se diría que es, ¿no? Bueno, pues eso es el poriquiere por el hecha y lo mismo,
1898780	1904780	yo siempre me confundo, cuando hago la solución para los, para las pruebas siempre lo hago por el hecha y,
1904780	1927780	realidad el o mismo, pero usualmente si así por lo que, está, el out 2 sería determinante nombre y el out 3,
1927780	1952780	jn, jp, y su deduja acá por out 3, su deduja acá por out 2, y su deduja acá por out 1,
1953780	1965780	bueno, y ahí tenemos nuestra gramática, en la forma normal de chunky, y ahora si tenemos listo,
1965780	1980780	si si hemos todo bien, ahí a no, a me faltó uno acá, porque me faltó uno en jv, ah, porque no,
1980780	2007780	es que el bjn, jp, que es el mismo get, out 3, no, perdón, out 1, bjn, jp, sí, remember,
2007780	2016780	tenemos forma normal de chunky, y ahora si lo vamos a hacer, es tratar de armar nuestro árbol,
2016780	2023780	sí, vamos a, los parser tienen dos características, recuerden esto, uno es que son ricos nocedores,
2023780	2029780	que lo que te dicen es, esta razión es valgia, y como parser, te devuelve en el árbol,
2030780	2040780	pero nosotros hacemos algo que sale a ver, ahora lo vamos a ver, bueno, entonces,
2040780	2054780	le abrimos y caí, parte de las hojas, y trata de armar algo, de llegar a la raíz, y se va a ser en el hecho
2054780	2068780	de que, como todo mi rey la son, como todo mi rey la son binarias, sí, si yo quiero saber, en un expande texto,
2068780	2075780	un expande, es un conjunto de palabras, no, un pedazo de texto, si yo quiero saber entre la posición 0 y la posición 4,
2075780	2086780	por ejemplo, si hay algún constituyente, seguramente el constituyente son, lo parte del medio,
2086780	2094780	el árbol, lo es la, esto es no del medio, si hay algún constituyente, entre la posición 0 y la 4,
2095780	2104780	si, podéis verlo en un problema más chico que es, saber si hay un subcontituyente entre la 1 y la 3,
2104780	2112780	y otro entre la 3 y la 4, y que vamos en el lado derecho de una regla, quiero decir,
2112780	2120780	si entre la posición 1, por ejemplo, tomo un vuelo, claro, yo digo bueno entre la posición, tomo un vuelo,
2120780	2137780	vamos poner un agar, tomo un vuelo, yo podría encontrar un constituyente entre la 1 y la 3, y otro entre la 3 y la 4,
2138780	2145780	o sea que recursiamente voy a tener que volver a analizar esta parte, pero supogamos que yo encuentro un constituyente para este,
2145780	2153780	encuentro un constituyente para este, y son al lado derecho de una regla, entonces todo esto va a ser en la izquierda una regla,
2153780	2166780	por ejemplo, en todo un vuelo a parís, sí, yo tengo el grupo verbal acá, tengo, esto lo sé,
2166780	2174780	no es que lo tiene el algoritmo, no tengo un grupo en un minel acá, y ambos son el lado derecho de una regla,
2174780	2181780	entonces, como el lado izquierdo de esa regla, es o todo esto es una oración,
2181780	2190780	ahora, como si yo que esto es un grupo en un minel, y bueno, porque busco ahora el mismo procedimiento para vos,
2190780	2196780	pero en realidad, abrimos muy insatamente al revés, parte de las hojas y va a infiriendo esto para arriba,
2196780	2205780	porque lo que conoce al principio es las palabras, este es como el último paso, digamos, de nuestro algoritmo,
2205780	2215780	sí, y lo que voy a hacer es utilizar una matrimia de mencionar para representar el algo, para representar el algo que tenemos a tal momento,
2216780	2226780	entonces, no sé si borrar acá, borrar allá, vamos a borrar allá, capaz que volto escribir el algoritmo,
2231780	2234780	entonces,
2235780	2240780	papas que ahora si voy a aprender el algo,
2245780	2249780	entonces, yo ya tengo una tablita,
2252780	2256780	y te la posición uno, dos, tres, cuatro y cinco, no, yo quiero analizar la frase, tomo una parisa,
2256780	2259780	creo que acá se trata la solución,
2260780	2266780	entonces, tengo una tablita,
2279780	2284780	y te son las sí, y te son las jotas,
2289780	2294780	y yo en cada casilla voy a tener,
2295780	2299780	en cada casilla hijota, o sea, hijota, por ejemplo,
2299780	2303780	en esta casilla hijota, de y es uno, hijota, tres,
2304780	2309780	lo que voy a tener es el análisis posible para el espán,
2310780	2315780	uno, tres, o sea para éste, para tomo un vuelo,
2316780	2322780	sí, y cómo lo voy a hacer, y con esa también tengo el algoritmo que dije recién,
2322780	2328780	si yo estoy en la casilla hija y tres, o sea, un o tres,
2329780	2333780	veo las combinaciones posible que hay acá en el medio,
2333780	2337780	como es uno, tres, sólo tengo uno, es uno, dos, tres,
2337780	2342780	si tiene,
2343780	2348780	uno, de la uno, dos, no tengo uno, tengo uno,
2348780	2355780	tengo uno, dos, y dos, tres,
2358780	2363780	a porque perdón es, es porque siempre me confundo,
2363780	2367780	porque yo no sé espacio en el medio, entonces,
2368780	2373780	acá yo voy en, en tres pasios acá,
2374780	2376780	pero, es que entonces,
2382780	2387780	sí, y de su uno, entonces,
2387780	2394780	sí,
2395780	2398780	acá yo quiero saber entre la posición uno y la tres, es un vuelo,
2399780	2402780	acuerdo,
2403780	2407780	porque después del tomo, hasta, hasta la tres,
2408780	2410780	entonces, esto es un vuelo,
2410780	2413780	la única forma de hacer esto es uno, dos, tres,
2413780	2417780	un por un lado y un vuelo por el otro,
2417780	2419780	acuerdo,
2419780	2424780	pero, para eso, tuve que tener primero el análisis de, de un,
2424780	2428780	bueno, vamos a ver nosotros vamos a curir el, el charta así,
2428780	2432780	entonces, y bueno,
2432780	2434780	si hay un cab, donde tengo una regla,
2434780	2437780	vc, donde vc, sea,
2437780	2440780	el, el, el, el, el, el posto,
2440780	2443780	es constituyente de icá y sea,
2443780	2446780	es el de cajote, y es al lado derecho,
2446780	2447780	la regla, entonces,
2447780	2449780	lo que yo hago va a entrar la,
2449780	2452780	es, es, vamos a ponerle la regla,
2452780	2454780	ahí en el pan,
2454780	2456780	en la que así se correspondiente,
2456780	2459780	mejores dos, hay un ejemplo,
2462780	2464780	bueno, entonces,
2464780	2466780	aparto acá,
2466780	2469780	y digo,
2469780	2472780	todo,
2472780	2475780	sí,
2475780	2477780	está, perdón, y si es una hoja,
2477780	2478780	entonces, simplemente veo,
2478780	2480780	si la entrada puede tener el posto,
2480780	2483780	correspondiente,
2483780	2488780	o sea, todo que es,
2489780	2495780	si,
2495780	2497780	mi primera análisis es,
2497780	2502780	01,
2502780	2504780	entre la posición 01,
2504780	2507780	tengo la palabra tomo,
2507780	2510780	tomo que puede ser,
2510780	2511780	ese uno es tragrado,
2511780	2516780	ah, y los, esa quila,
2517780	2519780	tomo que puede ser,
2519780	2522780	según nuestra gramática,
2522780	2523780	pues,
2523780	2525780	es una oración,
2525780	2526780	bien,
2526780	2527780	un grupo global,
2527780	2530780	o que más,
2530780	2532780	un baro,
2532780	2534780	puede ser también un grupo luminal,
2534780	2535780	en realidad,
2535780	2536780	un grupo luminal,
2536780	2538780	es un,
2542780	2544780	es un hombre,
2544780	2545780	pero, un poco,
2545780	2546780	porque yo no puse,
2546780	2548780	perdí el,
2548780	2551780	el diccionario,
2567780	2569780	tomo, también puede ser un nombre,
2569780	2571780	¿verdad?
2575780	2577780	Todo esto puede estar en esta casilla,
2579780	2581780	sí, de acuerdo,
2588780	2591780	entonces ahora pasó en la segunda posición,
2591780	2592780	porque acá,
2592780	2594780	esto acá abajo no tiene sentido,
2594780	2595780	porque yo puedo ir entre la cero,
2595780	2596780	acá tiene la posición 1,
2596780	2598780	puedo ir entre la cero y la 1,
2598780	2601780	de la 1 y la 1 no hay nada,
2601780	2602780	entonces,
2602780	2604780	bueno,
2604780	2605780	si,
2605780	2606780	entonces se analiza acá,
2606780	2607780	1,
2607780	2611780	1 que va a ser,
2611780	2614780	solamente puede ser un determinante,
2614780	2617780	según miramática,
2617780	2618780	o sea,
2618780	2622780	que entre la posición 1 y la 2,
2622780	2624780	¿cuál es la de 1?
2624780	2625780	Perdón,
2625780	2626780	¿que qué?
2626780	2627780	Es acá,
2627780	2629780	entre la posición 1 y la 2,
2629780	2630780	donde el determinante es un,
2630780	2632780	y eso va abajo para arriba,
2632780	2633780	acuerdo,
2633780	2636780	porque se entre la 1 y la 2,
2636780	2639780	que se esté espacio con el mes,
2639780	2641780	¿sí?
2649780	2651780	Ahora voy a estar acá,
2661780	2665780	yo tengo entre la posición 0 y la 2,
2665780	2667780	¿sí?
2667780	2670780	¿que sería todo 1?
2670780	2675780	¿cómo puedo vivir ese tomo 1 en 2 partes?
